,AD2D,AP2DC,CDK,CDKExt,CDKGraph,Combined,EState,KRFP,KRFPC,MACCS,PubChem,SubFP,SubFPC
AD2D,1.0,1.0,1.0,1.0,1.0,1.0,0.0962088040239585,0.2837892360505576,1.0,0.7599424679930743,1.0,0.008240654577239138,0.029579628969137392
AP2DC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2837892360505576,0.7599424679930743
CDK,1.0,1.0,1.0,1.0,1.0,1.0,0.2837892360505576,0.7599424679930743,1.0,1.0,1.0,0.029579628969137392,0.0962088040239585
CDKExt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CDKGraph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Combined,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
EState,0.0962088040239585,1.0,0.2837892360505576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0,1.0
KRFP,0.2837892360505576,1.0,0.7599424679930743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KRFPC,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0
MACCS,0.7599424679930743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PubChem,1.0,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0,1.0,1.0,1.0,0.0962088040239585,0.2837892360505576
SubFP,0.008240654577239138,0.2837892360505576,0.029579628969137392,1.0,1.0,1.0,1.0,1.0,0.7599424679930743,1.0,0.0962088040239585,1.0,1.0
SubFPC,0.029579628969137392,0.7599424679930743,0.0962088040239585,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2837892360505576,1.0,1.0
